team,elo
Spain,2213.5158092662655
Argentina,2184.679107776898
France,2142.7691678849906
England,2097.94137403326
Portugal,2071.3462864453445
Brazil,2070.7716180420975
Colombia,2062.1614407851066
Ecuador,2031.8191578070384
Netherlands,2014.849318355405
Germany,2006.801095719604
Japan,2002.614038612555
Mexico,1997.6387762466136
Morocco,1994.5017684728132
Norway,1989.5528401403951
Croatia,1986.119955156717
Uruguay,1979.1591731595518
Turkey,1976.6868597653504
Belgium,1961.7842637681406
Italy,1943.7345010615043
Denmark,1940.9081081434103
Switzerland,1940.1570388458613
Paraguay,1927.030061526686
Senegal,1916.0110782663423
Australia,1909.4660475795913
South Korea,1908.5570348628448
Canada,1905.9437137487905
Iran,1899.0597409042841
Algeria,1893.2901851182282
Austria,1889.792142478876
Yugoslavia,1887.5600827228386
Nigeria,1887.557184504892
Scotland,1865.224408076286
Panama,1863.7290079008094
Ukraine,1850.1581224256054
Russia,1845.5337154133629
United States,1836.6596619670431
Uzbekistan,1827.5141059493994
Greece,1824.2678428759841
Venezuela,1822.8962389717026
Jersey,1819.821193382152
Ivory Coast,1813.008890120679
Serbia,1810.4654107324138
Egypt,1808.8999680390302
Czechoslovakia,1801.8136335986735
Basque Country,1801.793313864994
Chile,1801.7235735641884
Czech Republic,1790.6641663727485
Jordan,1787.3172149813192
Kosovo,1783.5171964997417
Peru,1778.0691118404095
Sweden,1773.6616738044656
Poland,1769.575175109167
DR Congo,1767.0415876380578
Hungary,1766.1411673817472
Republic of Ireland,1761.9739150213775
Wales,1752.6966032275836
Costa Rica,1751.3457353693664
Guernsey,1749.409752306215
Slovenia,1738.6585289724874
German DR,1738.5357313182615
Iraq,1737.4653131436187
Tunisia,1735.3670426544386
Cameroon,1727.5922197762345
Honduras,1727.5459086565963
Slovakia,1725.5811735537254
Bolivia,1724.206489667954
Isle of Man,1722.2335356780234
Haiti,1720.1041312120753
New Zealand,1719.4909098688452
Georgia,1714.3962887095731
Mali,1713.95145085644
Northern Cyprus,1711.3131306665716
Israel,1708.514106354755
Romania,1706.507760208234
Occitania,1700.0138017785373
Saudi Arabia,1699.4815508462636
Padania,1692.347590988923
Albania,1682.0777750999468
Isle of Wight,1673.9351373475465
Jamaica,1670.5499693335312
United Arab Emirates,1666.1294908852879
Northern Ireland,1664.0481967684423
South Africa,1660.5853724636058
Iraqi Kurdistan,1660.4500648957037
North Macedonia,1660.2377162236623
Guatemala,1657.8505446114805
Catalonia,1657.0779120400673
Burkina Faso,1653.1445538972612
Ynys Môn,1652.7714109197211
Cape Verde,1645.952350704599
Bosnia and Herzegovina,1642.4024634288435
Abkhazia,1641.468506340864
Iceland,1628.5884965347313
Kárpátalja,1624.7400456183989
Ghana,1617.100211630869
Curaçao,1610.8181316726045
Syria,1608.276578343609
Suriname,1606.9569349712585
County of Nice,1606.3971865333476
Rhodes,1603.7885743951442
New Caledonia,1603.5123991325368
Kernow,1596.1528783970202
Andalusia,1594.9222260963209
Tamil Eelam,1593.8512439886576
Palestine,1593.3234494322862
Panjab,1593.3033453526768
Belarus,1592.0253666428364
Angola,1591.987816548953
Finland,1589.8175172877543
Guinea,1583.7899980406398
Réunion,1580.9153928673938
Oman,1579.5166978933605
Kurdistan,1578.1060901973956
Ellan Vannin,1573.214413959679
Menorca,1568.5466510718632
Zambia,1564.0889497851701
Artsakh,1564.015651764324
Chameria,1561.242886914097
Qatar,1560.1200040570368
Corsica,1559.3163817212533
China,1558.7590197693803
Arameans Suryoye,1554.6508071118633
Yorkshire,1554.159205162908
Cascadia,1551.9762185012137
Quebec,1551.7975860915774
Bahrain,1550.4665933347922
Zanzibar,1547.772395204949
Gambia,1545.5022599820395
Benin,1545.395178840659
Trinidad and Tobago,1543.9239889779167
Guadeloupe,1538.5505482029373
Bulgaria,1536.6754922816453
Maule Sur,1532.7424625669428
Thailand,1532.0025536311077
Galicia,1528.713286146522
Libya,1524.493439473996
Western Armenia,1522.1727464608862
Gabon,1521.4542504352703
Asturias,1520.5297736017358
Montenegro,1519.7021670060217
Uganda,1518.3238240423216
Biafra,1517.2303080621925
Canary Islands,1516.2131749694795
Kazakhstan,1515.9910987097624
Surrey,1515.7993484349038
Nicaragua,1514.4075624445159
Parishes of Jersey,1514.1454531069583
Elba Island,1514.0004248619894
Donetsk PR,1512.2748436527822
Tahiti,1511.5052640510087
Felvidék,1510.9601112023781
Mapuche,1510.0710705193856
Shetland,1507.8472163532533
Silesia,1507.807608842091
Crimea,1507.2299827100755
Niger,1506.3684994205305
Togo,1505.9496205957157
Guyana,1504.6698480321502
Brittany,1503.6979226077326
El Salvador,1503.0519398250865
Madagascar,1502.7672858830533
Mozambique,1502.666862540291
Indonesia,1500.7026751471421
Délvidék,1499.2991763042453
United Koreans in Japan,1498.6091258705512
