partido_id,fecha,torneo,equipo,rival,goles,es_local,neutral,peso,elo_equipo,elo_rival,elo_diff,equipo_id,rival_id
1,2010-01-02,Friendly,Iran,North Korea,1,0,TRUE,5.577094724795699e-6,1725.381374108957,1647.9039023142968,0.1936936794866506,469,NA
1,2010-01-02,Friendly,North Korea,Iran,0,0,TRUE,5.577094724795699e-6,1647.9039023142968,1725.381374108957,-0.1936936794866506,NA,469
2,2010-01-02,Friendly,Qatar,Mali,0,1,FALSE,5.577094724795699e-6,1616.6522829843075,1677.276287885388,-0.15156001225270133,4398,NA
2,2010-01-02,Friendly,Mali,Qatar,0,0,FALSE,5.577094724795699e-6,1677.276287885388,1616.6522829843075,0.15156001225270133,NA,4398
3,2010-01-04,Friendly,Egypt,Mali,1,0,TRUE,5.598317179429227e-6,1787.6293151844031,1678.4047925966522,0.2730613064693773,2620,NA
3,2010-01-04,Friendly,Mali,Egypt,0,0,TRUE,5.598317179429227e-6,1678.4047925966522,1787.6293151844031,-0.2730613064693773,NA,2620
4,2010-01-04,Friendly,Tanzania,Ivory Coast,0,1,FALSE,5.598317179429227e-6,1463.95663450037,1851.2874894614265,-0.9683271374026412,NA,4789
4,2010-01-04,Friendly,Ivory Coast,Tanzania,1,0,FALSE,5.598317179429227e-6,1851.2874894614265,1463.95663450037,0.9683271374026412,4789,NA
5,2010-01-05,Friendly,Ghana,Malawi,0,0,TRUE,5.608958671653002e-6,1780.9906372797068,1473.4143040293416,0.7689408331259131,4469,NA
5,2010-01-05,Friendly,Malawi,Ghana,0,0,TRUE,5.608958671653002e-6,1473.4143040293416,1780.9906372797068,-0.7689408331259131,NA,4469
6,2010-01-06,AFC Asian Cup qualification,Kuwait,Australia,2,1,FALSE,1.6858861174878414e-5,1581.151883918762,1869.8542003484954,-0.7217557910743335,NA,628
6,2010-01-06,AFC Asian Cup qualification,Australia,Kuwait,2,0,FALSE,1.6858861174878414e-5,1869.8542003484954,1581.151883918762,0.7217557910743335,628,NA
7,2010-01-06,AFC Asian Cup qualification,Singapore,Iran,1,1,FALSE,1.6858861174878414e-5,1538.6302675177449,1733.1876367284594,-0.4863934230267864,NA,469
7,2010-01-06,AFC Asian Cup qualification,Iran,Singapore,3,0,FALSE,1.6858861174878414e-5,1733.1876367284594,1538.6302675177449,0.4863934230267864,469,NA
8,2010-01-06,AFC Asian Cup qualification,Thailand,Jordan,0,1,FALSE,1.6858861174878414e-5,1602.9841362486286,1553.6816708731149,0.12325616343878437,NA,2917
8,2010-01-06,AFC Asian Cup qualification,Jordan,Thailand,0,0,FALSE,1.6858861174878414e-5,1553.6816708731149,1602.9841362486286,-0.12325616343878437,2917,NA
9,2010-01-06,AFC Asian Cup qualification,Yemen,Japan,2,1,FALSE,1.6858861174878414e-5,1361.022534812319,1865.2514914451472,-1.2605723915820704,NA,627
9,2010-01-06,AFC Asian Cup qualification,Japan,Yemen,3,0,FALSE,1.6858861174878414e-5,1865.2514914451472,1361.022534812319,1.2605723915820704,627,NA
10,2010-01-07,Friendly,Rwanda,Ivory Coast,0,0,TRUE,5.6303023777982826e-6,1457.3673396982838,1854.4988456478163,-0.9928287648738313,NA,4789
10,2010-01-07,Friendly,Ivory Coast,Rwanda,2,0,TRUE,5.6303023777982826e-6,1854.4988456478163,1457.3673396982838,0.9928287648738313,4789,NA
11,2010-01-09,Friendly,Tunisia,Gambia,1,1,FALSE,5.651727302903944e-6,1721.657018104748,1492.6759957754207,0.5724525558233182,659,NA
11,2010-01-09,Friendly,Gambia,Tunisia,2,0,FALSE,5.651727302903944e-6,1492.6759957754207,1721.657018104748,-0.5724525558233182,NA,659
12,2010-01-09,Friendly,Zambia,South Korea,4,0,TRUE,5.651727302903944e-6,1589.6169155630814,1833.0223759812889,-0.6085136510455186,NA,451
12,2010-01-09,Friendly,South Korea,Zambia,2,0,TRUE,5.651727302903944e-6,1833.0223759812889,1589.6169155630814,0.6085136510455186,451,NA
13,2010-01-11,African Cup of Nations,Ivory Coast,Burkina Faso,0,0,TRUE,1.134646751206307e-5,1857.2673356467806,1576.687045158622,0.7014507262203966,4789,NA
13,2010-01-11,African Cup of Nations,Burkina Faso,Ivory Coast,0,0,TRUE,1.134646751206307e-5,1576.687045158622,1857.2673356467806,-0.7014507262203966,NA,4789
14,2010-01-11,African Cup of Nations,Malawi,Algeria,3,0,TRUE,1.134646751206307e-5,1480.5048293672473,1685.5433571845474,-0.5125963195432501,NA,624
14,2010-01-11,African Cup of Nations,Algeria,Malawi,0,0,TRUE,1.134646751206307e-5,1685.5433571845474,1480.5048293672473,0.5125963195432501,624,NA
15,2010-01-12,African Cup of Nations,Egypt,Nigeria,3,0,TRUE,1.136803530501353e-5,1794.5852097866589,1843.1482977094379,-0.1214077198069475,2620,NA
15,2010-01-12,African Cup of Nations,Nigeria,Egypt,1,0,TRUE,1.136803530501353e-5,1843.1482977094379,1794.5852097866589,0.1214077198069475,NA,2620
16,2010-01-13,African Cup of Nations,Zambia,Tunisia,1,0,TRUE,1.1389644094837406e-5,1613.6879261720903,1704.273329213279,-0.22646350760297196,NA,659
16,2010-01-13,African Cup of Nations,Tunisia,Zambia,1,0,TRUE,1.1389644094837406e-5,1704.273329213279,1613.6879261720903,0.22646350760297196,659,NA
