fecha,partido,resultado,competencia,team_id
"Sáb., 6 de Jun.",Estados Unidos,1 - 2,Alemania,660
"Dom., 31 de May.",Estados Unidos,3 - 2,Senegal,660
"Mar., 31 de Mar.",Estados Unidos,0 - 2,Portugal,660
"Sáb., 28 de Mar.",Estados Unidos,2 - 5,Bélgica,660
"Mar., 18 de Nov.",Estados Unidos,5 - 1,Uruguay,660
"Sáb., 15 de Nov.",Estados Unidos,2 - 1,Paraguay,660
"Mar., 14 de Oct.",Estados Unidos,2 - 1,Australia,660
"Vie., 10 de Oct.",Estados Unidos,1 - 1,Ecuador,660
"Mar., 9 de Sep.",Estados Unidos,2 - 0,Japón,660
"Sáb., 6 de Sep.",Estados Unidos,0 - 2,Corea del Sur,660
"Dom., 6 de Jul.",Estados Unidos,1 - 2,México,660
"Mié., 2 de Jul.",Estados Unidos,2 - 1,Guatemala,660
"Dom., 29 de Jun.",Estados Unidos,2 - 2Estados Unidos ganó 4-3 en penales,Costa Rica,660
"Dom., 22 de Jun.",Estados Unidos,2 - 1,Haití,660
"Jue., 19 de Jun.",Arabia Saudita,0 - 1,Estados Unidos,660
"Dom., 15 de Jun.",Estados Unidos,5 - 0,Trinidad y Tobago,660
"Mar., 10 de Jun.",Estados Unidos,0 - 4,Suiza,660
"Sáb., 7 de Jun.",Estados Unidos,1 - 2,Turquía,660
"Dom., 23 de Mar.",Canadá,2 - 1,Estados Unidos,660
"Jue., 20 de Mar.",Estados Unidos,0 - 1,Panamá,660
"Mié., 22 de Ene.",Estados Unidos,3 - 0,Costa Rica,660
"Sáb., 18 de Ene.",Estados Unidos,3 - 1,Venezuela,660
"Lun., 18 de Nov.",Estados Unidos,4 - 2Vuelta · Estados Unidos gana 5-2 en marcador global,Jamaica,660
"Jue., 14 de Nov.",Jamaica,0 - 1Ida,Estados Unidos,660
"Mar., 15 de Oct.",México,2 - 0,Estados Unidos,660
"Jue., 11 de Jun.",México,2 - 0,Sudáfrica,203
"Jue., 4 de Jun.",México,5 - 1,Serbia,203
"Sáb., 30 de May.",México,1 - 0,Australia,203
"Vie., 22 de May.",México,2 - 0,Ghana,203
"Mar., 31 de Mar.",México,1 - 1,Bélgica,203
"Sáb., 28 de Mar.",México,0 - 0,Portugal,203
"Mié., 25 de Feb.",México,4 - 0,Islandia,203
"Dom., 25 de Ene.",Bolívia,0 - 1,México,203
"Jue., 22 de Ene.",Panamá,0 - 1,México,203
"Mar., 18 de Nov.",México,1 - 2,Paraguay,203
"Sáb., 15 de Nov.",México,0 - 0,Uruguay,203
"Mar., 14 de Oct.",México,1 - 1,Ecuador,203
"Sáb., 11 de Oct.",México,0 - 4,Colombia,203
"Mar., 9 de Sep.",México,2 - 2,Corea del Sur,203
"Sáb., 6 de Sep.",México,0 - 0,Japón,203
"Dom., 6 de Jul.",Estados Unidos,1 - 2,México,203
"Mié., 2 de Jul.",México,1 - 0,Honduras,203
"Sáb., 28 de Jun.",México,2 - 0,Arabia Saudita,203
"Dom., 22 de Jun.",México,0 - 0,Costa Rica,203
"Mié., 18 de Jun.",Suriname,0 - 2,México,203
"Sáb., 14 de Jun.",México,3 - 2,República Dominicana,203
"Mar., 10 de Jun.",México,1 - 0,Turquía,203
"Sáb., 7 de Jun.",México,2 - 4,Suiza,203
"Dom., 23 de Mar.",México,2 - 1,Panamá,203
"Jue., 20 de Mar.",Canadá,0 - 2,México,203
"Jue., 11 de Jun.",Corea del Sur,2 - 1,Chequia,451
"Mié., 3 de Jun.",Corea del Sur,1 - 0,El Salvador,451
"Sáb., 30 de May.",Corea del Sur,5 - 0,Trinidad y Tobago,451
