id,name,display_name,history_name
660,united-states,United States,United States
203,mexico,Mexico,Mexico
451,south-korea,South Korea,South Korea
450,czechia,Czechia,Czech Republic
467,south-africa,South Africa,South Africa
206,canada,Canada,Canada
452,bosnia-herzegovina,Bosnia Herzegovina,Bosnia and Herzegovina
4398,qatar,Qatar,Qatar
475,switzerland,Switzerland,Switzerland
205,brazil,Brazil,Brazil
2869,morocco,Morocco,Morocco
2654,haiti,Haiti,Haiti
580,scotland,Scotland,Scotland
210,paraguay,Paraguay,Paraguay
628,australia,Australia,Australia
465,turkiye,Turkiye,Turkey
481,germany,Germany,Germany
11678,curacao,Curacao,Curaçao
4789,ivory-coast,Ivory Coast,Ivory Coast
209,ecuador,Ecuador,Ecuador
449,netherlands,Netherlands,Netherlands
627,japan,Japan,Japan
466,sweden,Sweden,Sweden
659,tunisia,Tunisia,Tunisia
459,belgium,Belgium,Belgium
2620,egypt,Egypt,Egypt
469,iran,Iran,Iran
2666,new-zealand,New Zealand,New Zealand
164,spain,Spain,Spain
2597,cape-verde,Cape Verde,Cape Verde
655,saudi-arabia,Saudi Arabia,Saudi Arabia
212,uruguay,Uruguay,Uruguay
478,france,France,France
654,senegal,Senegal,Senegal
4375,iraq,Iraq,Iraq
464,norway,Norway,Norway
202,argentina,Argentina,Argentina
624,algeria,Algeria,Algeria
474,austria,Austria,Austria
2917,jordan,Jordan,Jordan
482,portugal,Portugal,Portugal
2850,congo-dr,Congo Dr,DR Congo
2570,uzbekistan,Uzbekistan,Uzbekistan
208,colombia,Colombia,Colombia
448,england,England,England
477,croatia,Croatia,Croatia
4469,ghana,Ghana,Ghana
2659,panama,Panama,Panama
