game_id,equipo1_slug,equipo1_id,equipo2_slug,equipo2_id
760417,paraguay,210,united-states,660
760416,bosnia-herzegovina,452,canada,206
760420,switzerland,475,qatar,4398
760419,morocco,2869,brazil,205
760418,scotland,580,haiti,2654
760421,turkiye,465,australia,628
760422,curacao,11678,germany,481
760425,japan,627,netherlands,449
760423,ecuador,209,ivory-coast,4789
760424,tunisia,659,sweden,466
760428,cape-verde,2597,spain,164
760426,egypt,2620,belgium,459
760429,uruguay,212,saudi-arabia,655
760427,new-zealand,2666,iran,469
760432,senegal,654,france,478
760430,norway,464,iraq,4375
760433,algeria,624,argentina,202
760431,jordan,2917,austria,474
760435,congo-dr,2850,portugal,482
760437,croatia,477,england,448
760434,panama,2659,ghana,4469
760436,colombia,208,uzbekistan,2570
760438,south-africa,467,czechia,450
760439,bosnia-herzegovina,452,switzerland,475
760440,qatar,4398,canada,206
760441,south-korea,451,mexico,203
