equipo,prob_r32,prob_r16,prob_qf,prob_sf,prob_final,prob_camp
Spain,0.7043,0.4779,0.3442,0.2272,0.2272,0.1467
Argentina,0.7635,0.5406,0.3454,0.2113,0.2113,0.1207
France,0.6954,0.4332,0.2683,0.1554,0.15539999999999998,0.0891
England,0.6217,0.3624,0.2115,0.1137,0.1137,0.0588
Colombia,0.624,0.3713,0.1956,0.1016,0.1016,0.053
Brazil,0.5625,0.3287,0.1805,0.0928,0.0928,0.0471
Germany,0.7005,0.3355,0.1809,0.0903,0.0903,0.0442
Portugal,0.4943,0.2691,0.1543,0.0814,0.0814,0.0416
Norway,0.6273,0.3097,0.1516,0.0742,0.0742,0.0339
Netherlands,0.5133,0.2915,0.1462,0.069,0.069,0.0332
Japan,0.5088,0.2729,0.1328,0.065,0.065,0.0307
Belgium,0.5461,0.2875,0.1254,0.0599,0.059899999999999995,0.0282
Mexico,0.5588,0.2698,0.134,0.0609,0.060899999999999996,0.0278
Morocco,0.4933,0.2617,0.126,0.0589,0.058899999999999994,0.0277
Switzerland,0.5614,0.2655,0.122,0.0588,0.058800000000000005,0.026
Croatia,0.3672,0.1731,0.0896,0.0429,0.0429,0.0193
Canada,0.5164,0.2223,0.0878,0.0369,0.0369,0.0161
South Korea,0.4473,0.2029,0.086,0.0353,0.0353,0.0148
Australia,0.4168,0.1563,0.074,0.034,0.034,0.0131
Uruguay,0.2348,0.1212,0.0611,0.0294,0.0294,0.0131
Austria,0.3298,0.1535,0.0702,0.0284,0.028399999999999998,0.0116
Paraguay,0.336,0.1401,0.0622,0.027,0.027,0.011
United States,0.5215,0.2405,0.0846,0.0325,0.0325,0.011
Ecuador,0.2013,0.1077,0.0466,0.0218,0.0218,0.0095
Algeria,0.3148,0.1489,0.0626,0.0252,0.0252,0.0093
Scotland,0.345,0.1414,0.0553,0.0225,0.0225,0.0092
Iran,0.3077,0.132,0.055,0.0221,0.0221,0.0084
Senegal,0.2012,0.0987,0.0382,0.0176,0.0176,0.0082
Egypt,0.3696,0.1318,0.0521,0.0202,0.0202,0.0076
Sweden,0.3939,0.1592,0.0522,0.0186,0.0186,0.0072
Ivory Coast,0.3112,0.1111,0.0401,0.0138,0.0138,0.0046
Turkey,0.0883,0.0481,0.0217,0.0088,0.0088,0.0041
Panama,0.1257,0.0523,0.0227,0.0068,0.0068000000000000005,0.0038
Uzbekistan,0.1568,0.0607,0.024,0.0089,0.0089,0.0029
Czech Republic,0.0845,0.0299,0.0099,0.0045,0.0045,0.0016
DR Congo,0.1917,0.0658,0.0245,0.0072,0.007200000000000001,0.0011
Bosnia and Herzegovina,0.1108,0.03,0.0081,0.0023,0.0023,7e-4
Ghana,0.1733,0.0454,0.0109,0.0027,0.0027,7e-4
Saudi Arabia,0.0776,0.0255,0.008,0.0019,0.0018999999999999998,7e-4
South Africa,0.059,0.0165,0.0044,0.0012,0.0012,6e-4
Cape Verde,0.1187,0.0397,0.0114,0.0029,0.0029,3e-4
New Zealand,0.0526,0.0147,0.0042,0.0013,0.0013,3e-4
Curaçao,0.0532,0.0163,0.0029,7e-4,7e-4,2e-4
Iraq,0.0257,0.0087,0.003,9e-4,9e-4,2e-4
Jordan,0.0166,0.008,0.0023,4e-4,3.9999999999999996e-4,1e-4
Haiti,0.008,0.0024,6e-4,1e-4,1e-4,0
Qatar,0.0678,0.018,0.0051,8e-4,8e-4,0
