group,equipo1,equipo2,goles1_esp,goles2_esp,top3_scores,prob_gana1,prob_empate,prob_gana2
A,Czech Republic,South Africa,1.38,0.95,1-0(14%)  1-1(12%)  0-0(10%),0.471,0.262,0.267
A,Mexico,Czech Republic,1.46,0.89,1-0(14%)  1-1(12%)  2-0(10%),0.509,0.257,0.234
A,Mexico,South Africa,1.83,0.76,1-0(14%)  2-0(13%)  1-1(10%),0.623,0.221,0.156
A,Mexico,South Korea,1.28,1.07,1-0(13%)  1-1(13%)  0-1(10%),0.422,0.268,0.31
A,South Korea,Czech Republic,1.31,0.97,1-0(14%)  1-1(13%)  0-0(11%),0.443,0.279,0.278
A,South Korea,South Africa,1.63,0.84,1-0(14%)  2-0(11%)  1-1(11%),0.555,0.252,0.194
B,Bosnia and Herzegovina,Qatar,1.27,1.04,1-1(13%)  1-0(13%)  0-0(10%),0.414,0.285,0.301
B,Bosnia and Herzegovina,Switzerland,0.79,1.77,0-1(14%)  0-2(12%)  1-1(11%),0.163,0.236,0.601
B,Canada,Bosnia and Herzegovina,1.61,0.84,1-0(14%)  1-1(11%)  2-0(11%),0.554,0.249,0.197
B,Canada,Qatar,1.74,0.76,1-0(14%)  2-0(12%)  1-1(11%),0.601,0.233,0.166
B,Canada,Switzerland,1.08,1.28,1-1(12%)  0-1(12%)  1-0(10%),0.315,0.274,0.411
B,Qatar,Switzerland,0.7,1.92,0-1(14%)  0-2(13%)  1-1(9%),0.133,0.209,0.658
C,Brazil,Haiti,1.78,0.73,1-0(15%)  2-0(13%)  1-1(11%),0.624,0.226,0.15
C,Brazil,Morocco,1.3,1.06,1-1(13%)  1-0(13%)  0-1(10%),0.417,0.28,0.304
C,Brazil,Scotland,1.53,0.89,1-0(14%)  1-1(12%)  2-0(10%),0.522,0.258,0.22
C,Haiti,Scotland,0.96,1.33,0-1(14%)  1-1(13%)  1-0(10%),0.277,0.271,0.452
C,Morocco,Haiti,1.62,0.84,1-0(14%)  1-1(11%)  2-0(11%),0.556,0.248,0.196
C,Morocco,Scotland,1.36,0.98,1-0(13%)  1-1(13%)  0-0(10%),0.453,0.276,0.271
D,Australia,Turkey,1.03,1.31,0-1(13%)  1-1(13%)  0-0(10%),0.288,0.281,0.431
D,Paraguay,Australia,1.2,1.19,1-1(13%)  0-1(11%)  1-0(11%),0.361,0.279,0.36
D,Paraguay,Turkey,1.05,1.3,1-1(13%)  0-1(12%)  1-0(10%),0.296,0.281,0.422
D,United States,Australia,1.06,1.27,1-1(13%)  0-1(12%)  1-0(10%),0.311,0.277,0.412
D,United States,Paraguay,1.07,1.27,1-1(12%)  0-1(12%)  1-0(10%),0.316,0.272,0.413
D,United States,Turkey,0.94,1.38,0-1(13%)  1-1(13%)  0-0(10%),0.255,0.278,0.467
E,Curaçao,Ecuador,0.77,1.88,0-1(13%)  0-2(12%)  1-1(10%),0.155,0.215,0.63
E,Curaçao,Ivory Coast,0.94,1.5,0-1(13%)  1-1(12%)  0-2(10%),0.241,0.26,0.5
E,Germany,Curaçao,1.92,0.71,1-0(14%)  2-0(13%)  1-1(10%),0.655,0.215,0.13
E,Germany,Ecuador,1.23,1.14,1-1(12%)  1-0(11%)  0-1(11%),0.383,0.27,0.346
E,Germany,Ivory Coast,1.52,0.9,1-0(14%)  1-1(11%)  2-0(10%),0.518,0.25,0.233
E,Ivory Coast,Ecuador,0.96,1.51,0-1(13%)  1-1(12%)  0-2(10%),0.24,0.262,0.499
F,Japan,Sweden,1.49,0.88,1-0(15%)  1-1(12%)  2-0(10%),0.516,0.262,0.222
F,Japan,Tunisia,1.64,0.83,1-0(14%)  1-1(11%)  2-0(11%),0.562,0.239,0.199
F,Netherlands,Japan,1.23,1.11,1-1(13%)  1-0(12%)  0-1(10%),0.392,0.278,0.33
F,Netherlands,Sweden,1.53,0.83,1-0(14%)  1-1(12%)  2-0(11%),0.533,0.265,0.202
F,Netherlands,Tunisia,1.7,0.76,1-0(14%)  2-0(12%)  1-1(10%),0.593,0.238,0.169
F,Sweden,Tunisia,1.23,1.06,1-1(13%)  1-0(13%)  0-0(11%),0.4,0.289,0.311
G,Belgium,Egypt,1.44,0.98,1-0(13%)  1-1(13%)  2-0(10%),0.479,0.266,0.255
G,Belgium,Iran,1.28,1.06,1-1(13%)  1-0(12%)  0-0(10%),0.41,0.288,0.303
G,Belgium,New Zealand,1.61,0.85,1-0(14%)  1-1(12%)  2-0(10%),0.551,0.247,0.202
G,Egypt,Iran,1.04,1.27,1-1(13%)  0-1(12%)  0-0(10%),0.305,0.278,0.417
G,Egypt,New Zealand,1.32,1.02,1-1(13%)  1-0(13%)  0-1(10%),0.435,0.271,0.294
G,Iran,New Zealand,1.41,0.91,1-0(14%)  1-1(12%)  0-0(10%),0.486,0.272,0.242
H,Cape Verde,Saudi Arabia,1.11,1.2,1-1(13%)  0-1(12%)  1-0(11%),0.337,0.283,0.38
H,Cape Verde,Uruguay,0.76,1.77,0-1(15%)  0-2(12%)  1-1(11%),0.157,0.231,0.612
H,Saudi Arabia,Uruguay,0.8,1.68,0-1(14%)  0-2(11%)  1-1(11%),0.177,0.24,0.582
H,Spain,Cape Verde,2.52,0.55,2-0(14%)  1-0(12%)  3-0(11%),0.793,0.142,0.064
H,Spain,Saudi Arabia,2.44,0.58,2-0(14%)  3-0(12%)  1-0(12%),0.769,0.157,0.074
H,Spain,Uruguay,1.63,0.82,1-0(15%)  1-1(12%)  2-0(11%),0.566,0.245,0.189
I,France,Iraq,2,0.68,1-0(14%)  2-0(13%)  1-1(9%),0.676,0.203,0.121
I,France,Norway,1.4,0.95,1-0(13%)  1-1(13%)  0-0(10%),0.468,0.275,0.258
I,France,Senegal,1.53,0.85,1-0(14%)  1-1(12%)  2-0(11%),0.53,0.258,0.212
I,Iraq,Norway,0.81,1.65,0-1(14%)  0-2(11%)  1-1(11%),0.182,0.25,0.569
I,Senegal,Iraq,1.47,0.9,1-0(14%)  1-1(12%)  2-0(10%),0.503,0.263,0.234
I,Senegal,Norway,1.05,1.28,1-1(13%)  0-1(12%)  0-0(11%),0.302,0.284,0.415
J,Algeria,Austria,1.17,1.2,1-1(13%)  1-0(12%)  0-1(11%),0.359,0.276,0.365
J,Algeria,Jordan,1.33,1.03,1-1(12%)  1-0(12%)  0-1(10%),0.436,0.27,0.294
J,Argentina,Algeria,1.7,0.81,1-0(13%)  2-0(13%)  1-1(11%),0.579,0.243,0.178
J,Argentina,Austria,1.69,0.82,1-0(14%)  1-1(11%)  2-0(11%),0.579,0.239,0.182
J,Argentina,Jordan,1.9,0.69,1-0(14%)  2-0(13%)  1-1(10%),0.653,0.215,0.132
J,Austria,Jordan,1.3,1.01,1-1(13%)  1-0(13%)  0-0(11%),0.427,0.284,0.289
K,DR Congo,Colombia,0.8,1.7,0-1(14%)  0-2(11%)  1-1(11%),0.176,0.245,0.579
K,DR Congo,Uzbekistan,1.1,1.24,1-1(13%)  0-1(12%)  1-0(11%),0.332,0.272,0.396
K,Portugal,Colombia,1.22,1.17,1-1(12%)  1-0(12%)  0-1(11%),0.38,0.273,0.347
K,Portugal,DR Congo,1.73,0.81,1-0(14%)  2-0(12%)  1-1(11%),0.59,0.231,0.178
K,Portugal,Uzbekistan,1.61,0.86,1-0(14%)  2-0(11%)  1-1(11%),0.554,0.24,0.206
K,Uzbekistan,Colombia,0.86,1.61,0-1(14%)  1-1(12%)  0-2(11%),0.202,0.252,0.546
L,Croatia,Ghana,1.84,0.73,1-0(14%)  2-0(13%)  1-1(10%),0.635,0.223,0.142
L,Croatia,Panama,1.31,0.98,1-0(13%)  1-1(12%)  0-0(11%),0.438,0.279,0.284
L,England,Croatia,1.35,1,1-1(13%)  1-0(13%)  0-0(10%),0.441,0.283,0.276
L,England,Ghana,2.11,0.64,1-0(14%)  2-0(14%)  3-0(10%),0.709,0.189,0.103
L,England,Panama,1.53,0.85,1-0(14%)  1-1(12%)  2-0(11%),0.534,0.257,0.209
L,Ghana,Panama,0.82,1.57,0-1(14%)  1-1(12%)  0-2(11%),0.197,0.255,0.548
