group,equipo1,equipo2,goles1_esp,goles2_esp,top3_scores,prob_gana1,prob_empate,prob_gana2
G,Belgium,New Zealand,1.63,0.83,1-0(13%)  1-1(12%)  2-0(11%),0.553,0.258,0.189
G,Egypt,Iran,1.03,1.27,1-1(14%)  0-1(12%)  0-0(11%),0.296,0.3,0.404
H,Cape Verde,Saudi Arabia,1.06,1.2,1-1(13%)  0-1(12%)  0-0(12%),0.309,0.297,0.394
H,Spain,Uruguay,1.6,0.88,1-1(13%)  1-0(13%)  2-0(11%),0.534,0.269,0.198
I,France,Norway,1.46,0.99,1-1(13%)  1-0(11%)  0-0(10%),0.472,0.274,0.255
I,Senegal,Iraq,1.42,0.89,1-0(14%)  1-1(13%)  0-0(11%),0.494,0.275,0.231
J,Algeria,Austria,1.2,1.17,1-1(14%)  1-0(11%)  0-1(11%),0.358,0.293,0.349
J,Argentina,Jordan,1.89,0.7,1-0(14%)  2-0(13%)  1-1(10%),0.653,0.222,0.125
K,DR Congo,Uzbekistan,1.03,1.27,1-1(14%)  0-1(12%)  0-0(11%),0.291,0.306,0.402
K,Portugal,Colombia,1.21,1.14,1-1(14%)  1-0(11%)  0-0(10%),0.366,0.293,0.341
L,Croatia,Ghana,1.89,0.74,1-0(13%)  2-0(13%)  1-1(10%),0.64,0.228,0.132
L,England,Panama,1.6,0.86,1-1(13%)  1-0(12%)  2-0(11%),0.535,0.277,0.188
