equipo,prob_1ro,prob_2do,prob_3ro,prob_4to,prob_clas,pts_md,gd_md,group
Mexico,1,0,0,0,1,9,6,A
South Africa,0,1,0,0,1,4,-1,A
South Korea,0,0,1,0,0.9096,3,-1,A
Czech Republic,0,0,0,1,0,1,-4,A
Bosnia and Herzegovina,0,0,1,0,1,4,-1,B
Canada,0,1,0,0,1,4,5,B
Switzerland,1,0,0,0,1,7,4,B
Qatar,0,0,0,1,0,1,-8,B
Brazil,1,0,0,0,1,7,6,C
Morocco,0,1,0,0,1,7,3,C
Scotland,0,0,1,0,0.2584,3,-3,C
Haiti,0,0,0,1,0,0,-6,C
United States,0.9867,0.0133,0,0,1,7,5,D
Australia,0.0113,0.6174,0.2994,0.0719,0.8712,4,0,D
Paraguay,0.002,0.3693,0.4873,0.1414,0.7448,4,-2,D
Turkey,0,0,0.2133,0.7867,0.1782,1,-3,D
Germany,0.998,0.002,0,0,1,7,7,E
Ivory Coast,0.002,0.7279,0.1891,0.081,0.8894,6,1,E
Ecuador,0,0.1379,0.6455,0.2166,0.3711,2,-1,E
Curaçao,0,0.1322,0.1654,0.7024,0.2131,1,-7,E
Japan,0.4319,0.3926,0.1755,0,1,7,5,F
Netherlands,0.4822,0.5035,0.0143,0,1,7,5,F
Sweden,0.0859,0.1039,0.8099,3e-4,0.9073,3,-1,F
Tunisia,0,0,3e-4,0.9997,1e-4,0,-9,F
Belgium,0.6464,0.2901,0.0635,0,1,7,2,G
Egypt,0.1915,0.4062,0.3272,0.0751,0.9074,4,1,G
Iran,0.158,0.2443,0.4552,0.1425,0.6423,3,0,G
New Zealand,0.0041,0.0594,0.1541,0.7824,0.1902,1,-3,G
Spain,0.8135,0.1324,0.0541,0,1,7,5,H
Cape Verde,0.0246,0.4669,0.2219,0.2866,0.6109,3,0,H
Uruguay,0.1619,0.0847,0.6462,0.1072,0.4583,2,-1,H
Saudi Arabia,0,0.316,0.0778,0.6062,0.3887,2,-4,H
France,0.7641,0.2359,0,0,1,7,5,I
Norway,0.2359,0.7641,0,0,1,7,4,I
Senegal,0,0,0.769,0.231,0.3983,1,-3,I
Iraq,0,0,0.231,0.769,0.0287,1,-6,I
Argentina,0.9976,0.0024,0,0,1,9,6,J
Austria,0.0023,0.6443,0.3335,0.0199,0.9229,4,0,J
Algeria,1e-4,0.3533,0.6045,0.0421,0.7682,4,-2,J
Jordan,0,0,0.062,0.938,0.0489,0,-4,J
Colombia,0.6389,0.3611,0,0,1,7,3,K
Portugal,0.3611,0.6374,0.0015,0,1,5,5,K
DR Congo,0,0.0015,0.6006,0.3979,0.3012,2,-1,K
Uzbekistan,0,0,0.3979,0.6021,0.0219,1,-7,K
England,0.5948,0.398,0.0072,0,1,7,3,L
Ghana,0.1087,0.2612,0.6301,0,1,4,0,L
Croatia,0.2965,0.3408,0.3383,0.0244,0.9473,6,0,L
Panama,0,0,0.0244,0.9756,0.0216,0,-3,L
